question,nb_documents,fichiers_pertinents
quelles garanties ai je droit ?,10,83856_ccpma_sante evin_oda_cg ni .pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202410_CCN 52_CG valant NI_118.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf
Peux tu me donner des détails sur ces garanties ?,16,82852_ccpma_sante evin_oda_tg et bar.pdf | 83856_ccpma_sante evin_oda_cg ni .pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202410_CCN 52_CG valant NI_118.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
j'ai besoin du tableau de garantie LOI EVIN,2,82852_ccpma_sante evin_oda_tg et bar.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf
quelle est la prise en charge optique au contrat LOI EVIN ?,2,202410_CCN 52_TG BAR_EVIN_177.pdf | 202410_CCN 52_CG valant NI_118.pdf
pouvez vous m'indiquer le tableau de garanties sante ?,5,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202201_TG_CCN52 Av51_Ref131.pdf
pouvez vous m'indiquer le Remboursements du régime de base ?,4,202410_Ex Rembts_CCN 52_SANTE_2813.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
quel remboursement pour les lunettes et verres ?,6,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202410_Ex Rembts_CCN 52_SANTE_2813.pdf | 202201_TG_CCN52 Av51_Ref131.pdf
quels sont les différents montants de remboursement en optique ?,5,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202201_TG_CCN52 Av51_Ref131.pdf
quelle est ma prise en charge en cas d'hospitalisation ?,6,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202410_Ex Rembts_CCN 52_SANTE_2813.pdf | 202201_TG_CCN52 Av51_Ref131.pdf
quels sont les montants d'indemnisation ?,7,82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | 202410_Ex Rembts_CCN 52_SANTE_2813.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
quelles taux de remboursement pour ma garantie décès ?,8,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,4,ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
Qu'en est il concernant les enfants en situation de handicap ?,5,ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Qu'en est il concernant les enfants en situation de handicap pour le contrat collectif ?,4,ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,4,ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
quel est le délai de franchise de mon contrat de prévoyance,3,202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf
A partir de quel taux prenons nous en charge l'incapacité permanente professionnelle de travail?,8,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
quel est le délai de franchise de mon contrat de prévoyance,2,202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
quel est le délai de franchise relatif à mon dossier d'indemnités journalières complémentaires,5,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Le salarié va t-il percevoir directement ses indemnités journalières complémentaires,4,202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
quels sont mes taux de cotisation ?,5,83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 82852_ccpma_sante evin_oda_tg et bar.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf
quelles sont les taux de remboursement pour le dentaire ?,5,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202201_TG_CCN52 Av51_Ref131.pdf
Quels sont tous les barèmes de cotisations possibles ?,8,82852_ccpma_sante evin_oda_tg et bar.pdf | 83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
peux tu donner tous les baremes pour chaque tranche ?,6,83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
quels sont les parts employeur et salarié de cotisations ?,6,83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
Quels sont les cas de dispense pour les salariés non-cadre et cadre ?,4,ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
quelle est la part employeur dans le bareme de cotisation ?,6,83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
quel sont les taux de cotisation pour la prévoyance ?,4,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
Quel est le délégataire de gestion du contrat santé ?,6,83856_ccpma_sante evin_oda_cg ni .pdf | ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202410_CCN 52_CG valant NI_118.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
Comment sont réparties les cotisations que je dois prélever à mon salarié concernant le décès ?,4,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
Quelle est la part de cotisations que je dois prélever à mon salarié concernant le décès ?,4,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
Quelle est la part de cotisations que je dois prélever à mon salarié non cadre concernant le décès ?,4,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
Quelle est la part de cotisations que je dois prélever à aux ouvriers de mon entreprise concernant le décès ?,4,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf
A partir de quelle ancienneté mon salarié cotise à la retraite supplémentaire ?,2,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
quelles sont les différentes prestations pour l'hospitalisation,8,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202410_Ex Rembts_CCN 52_SANTE_2813.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
quelle est la liste des toutes les garanties santé ?,4,82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf
Quels sont les documents à adresser pour la complétude d'un dossier de portabilité santé ?,2,ccpma_santé_oda_ni 2018.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
A qui adresser les documents de portabilité ?,5,ccpma_santé_oda_ni 2018.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Mon contrat rembourse t'il les médicaments homéopathiques ?,6,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
Une personne en invalidité de catégorie 1 peut il obtenir une pension complémentaire de notre part ?,8,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Un salarié cadre en invalidité de catégorie 1 peut il obtenir une pension complémentaire de notre part ?,7,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf
quel est le délai de franchise de mon contrat de prévoyance ?,4,202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
quel est le délai de franchise relatif à mon dossier d'indemnités journalières complémentaires,5,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Quel est le délai de franchise relatif à mon dossier d'indemnités journalières complémentaires ?,5,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Quel est le numéro de l'assistance ?,5,83856_ccpma_sante evin_oda_cg ni .pdf | ccpma_santé_oda_ni 2018.pdf | 202410_CCN 52_CG valant NI_118.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
Quel est le délai de franchise pour le versement d'indemnités journalières complémentaires pour le régime d'adhésion ?,5,202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Qu'est ce que le réseau carte blanche ?,4,ccpma_santé_oda_ni 2018.pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf
A quel moment cesse la portabilité ?,6,ccpma_santé_oda_ni 2018.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf | 82468_ccpma_santé_oda_cg.pdf
Par qui est réglée l'indemnité journalière complémentaire ?,5,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Quel est le montant de la prime de maternité ?,0,AUCUN
Combien de temps dure l'indemnisation journalière complémentaire ?,5,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Quel est le délai de franchise pour le versement d'indemnités journalières complémentaires pour le régime d'adhésion ?,4,202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
